episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
148,270.0,449,88008,0.2,0.09216460400978022,773.407247469,True,False
149,570.0,643,88651,0.2,0.08855626209406182,778.086783807,True,False
150,390.0,437,89088,0.2,0.08526586195961995,781.735255025,True,False
151,600.0,566,89654,0.2,0.09412549068186934,787.5061566119999,True,False
152,630.0,605,90259,0.2,0.1111737440913817,792.567125802,True,False
153,530.0,461,90720,0.2,0.10057288475720019,797.3051608229999,True,False
154,1550.0,932,91652,0.2,0.09782039826184255,804.707798754,True,False
155,1120.0,616,92268,0.2,0.09208940779911233,811.431779166,True,False
156,420.0,466,92734,0.2,0.09965345528426356,815.642926832,True,False
157,340.0,429,93163,0.2,0.0930266820555814,819.550648773,True,False
158,220.0,388,93551,0.2,0.08280250336014733,822.724592739,True,False
159,470.0,459,94010,0.2,0.10323205231486456,826.4449924209999,True,False
160,950.0,591,94601,0.2,0.09752339277592664,831.6333122789999,True,False
161,360.0,449,95050,0.2,0.11188681502660204,835.190366222,True,False
162,300.0,321,95371,0.2,0.10757441248279065,837.75202082,True,False
163,350.0,507,95878,0.2,0.09947595829657448,841.723361922,True,False
164,980.0,635,96513,0.2,0.1186008843118852,846.924545759,True,False
165,260.0,308,96821,0.2,0.11398611863615452,849.4459389059999,True,False
166,320.0,370,97191,0.2,0.10914636777875864,852.435141439,True,False
167,420.0,488,97679,0.2,0.12916430585147415,856.315766168,True,False
168,330.0,441,98120,0.2,0.11364016939491571,859.925695239,True,False
169,1120.0,817,98937,0.2,0.10878577007565136,866.60111825,True,False
170,440.0,659,99596,0.2,0.09414454934497675,871.943430694,True,False
171,560.0,493,100089,0.2,0.11144233017220972,875.881128602,True,False
172,750.0,691,100780,0.2,0.09758035613579212,882.1464004759999,True,False
173,970.0,617,101397,0.2,0.09845734082839706,889.451232051,True,False
174,490.0,515,101912,0.2,0.09736194372061611,894.3274997899999,True,False
175,430.0,439,102351,0.2,0.09445347020043693,898.186293061,True,False
176,1200.0,528,102879,0.2,0.09723422657980611,904.12631353,True,False
177,1200.0,651,103530,0.2,0.09855525340153579,909.420898249,True,False
178,680.0,452,103982,0.2,0.09778104063156431,913.306128311,True,False
179,700.0,613,104595,0.2,0.11087040964733152,918.2087213,True,False
180,350.0,382,104977,0.2,0.1094533265568316,921.33715263,True,False
181,450.0,584,105561,0.2,0.10646316541792596,925.9683551869999,True,False
182,300.0,392,105953,0.2,0.10726664694292205,929.1317262279999,True,False
183,1630.0,757,106710,0.2,0.12040853196824039,935.333091113,True,False
184,410.0,444,107154,0.2,0.12041584251297487,939.112204509,True,False
185,410.0,434,107588,0.2,0.10272793003588641,941.999036812,True,False
186,360.0,402,107990,0.2,0.10237332284450532,944.6955328839999,True,False
187,340.0,529,108519,0.2,0.11573790013084584,949.2378564429999,True,False
188,370.0,468,108987,0.2,0.11889712424932891,952.515280484,True,False
189,600.0,603,109590,0.2,0.1312451243943331,956.729566996,True,False
190,680.0,613,110203,0.2,0.1456547259578323,962.265130359,True,False
191,1440.0,624,110827,0.2,0.11259676135169008,968.426909329,True,False
192,1020.0,717,111544,0.2,0.10534216508579751,976.318866522,True,False
193,240.0,428,111972,0.2,0.12176537726109272,980.39071326,True,False
194,610.0,528,112500,0.2,0.10970304220576178,985.4482639519999,True,False
195,540.0,605,113105,0.2,0.10492330582331348,991.0474934289999,True,False
196,450.0,447,113552,0.2,0.1147403890998768,995.374924587,True,False
197,900.0,704,114256,0.2,0.1194433161766607,1002.0901071179999,True,False
198,690.0,610,114866,0.2,0.10192658301246793,1008.003183477,True,False
199,300.0,409,115275,0.2,0.13052136617183102,1012.1191261849999,True,False
200,380.0,540,115815,0.2,0.11342787956474004,1018.002724317,True,False
201,960.0,609,116424,0.2,0.12733733584020845,1027.7589606,True,False
202,500.0,452,116876,0.2,0.10948488073407021,1033.585893631,True,False
203,580.0,682,117558,0.2,0.1155050352544469,1041.469928324,True,False
204,730.0,649,118207,0.2,0.10370233643478081,1048.616689569,True,False
205,990.0,654,118861,0.2,0.10833811139256307,1055.118695556,True,False
206,630.0,506,119367,0.2,0.11954068662303072,1059.894015832,True,False
207,790.0,656,120023,0.2,0.10428990860946658,1065.456794762,True,False
208,490.0,487,120510,0.2,0.12017108060297418,1069.883470482,True,False
209,930.0,883,121393,0.2,0.11171445869988177,1077.520689068,True,False
210,370.0,447,121840,0.2,0.110759726010396,1081.315212364,True,False
211,400.0,502,122342,0.2,0.11571632266044617,1086.054342655,True,False
212,520.0,497,122839,0.2,0.13304913783025357,1090.381786319,True,False
213,410.0,438,123277,0.2,0.11121431475674565,1095.136143064,True,False
214,2460.0,868,124145,0.2,0.09564127802230796,1102.535718582,True,False
215,1240.0,1063,125208,0.2,0.11121662491162244,1111.631915291,True,False
216,670.0,578,125786,0.2,0.08825175304405598,1116.779242793,True,False
217,2770.0,1203,126989,0.2,0.09546288652685889,1129.08725929,True,False
218,240.0,308,127297,0.2,0.10855741578746926,1132.074156501,True,False
219,2090.0,688,127985,0.2,0.10161438037446419,1138.147711789,True,False
220,570.0,437,128422,0.2,0.0873844958329146,1141.909348029,True,False
221,2170.0,730,129152,0.2,0.09964162030873078,1148.117388812,True,False
222,1190.0,717,129869,0.2,0.09643686269331911,1155.171261047,True,False
223,1140.0,766,130635,0.2,0.13266752001522256,1161.842141389,True,False
224,420.0,458,131093,0.2,0.09598049911791863,1166.167426731,True,False
225,330.0,416,131509,0.2,0.09443940727326733,1169.864082049,True,False
226,270.0,399,131908,0.2,0.11828519528731704,1174.582029235,True,False
227,410.0,444,132352,0.2,0.11478118335005937,1178.576107857,True,False
228,1110.0,859,133211,0.2,0.1023521810926706,1186.019407417,True,False
229,500.0,532,133743,0.2,0.13475235973141694,1190.701781108,True,False
230,1000.0,492,134235,0.2,0.11796084908783679,1195.269818708,True,False
231,230.0,323,134558,0.2,0.13376436663078672,1198.274022406,True,False
232,1120.0,957,135515,0.2,0.11743133187013441,1207.168270666,True,False
233,390.0,417,135932,0.2,0.11316781816560598,1210.913533552,True,False
234,500.0,518,136450,0.2,0.13668288237075935,1216.769844393,True,False
235,850.0,693,137143,0.2,0.11367103814906468,1223.492729504,True,False
236,1160.0,597,137740,0.2,0.11388143920650085,1229.399766178,True,False
237,1130.0,611,138351,0.2,0.12282701355013016,1234.969354134,True,False
238,410.0,459,138810,0.2,0.12779458512592576,1238.971057016,True,False
239,880.0,657,139467,0.2,0.12172496430121543,1244.846211331,True,False
240,1120.0,711,140178,0.2,0.12607884479247117,1251.631883906,True,False
241,420.0,470,140648,0.2,0.14717350915169058,1256.486091986,True,False
242,560.0,674,141322,0.2,0.12856832455976733,1262.385484565,True,False
243,530.0,468,141790,0.2,0.11975111781309049,1266.527536278,True,False
244,230.0,362,142152,0.2,0.12595767073415137,1269.7863285199999,True,False
245,980.0,591,142743,0.2,0.12920008473047595,1275.131396662,True,False
246,610.0,645,143388,0.2,0.1139502770692846,1280.931428543,True,False
247,1100.0,687,144075,0.2,0.12724503262066528,1287.168765764,True,False
248,780.0,786,144861,0.2,0.12015335456595808,1294.159975645,True,False
249,380.0,396,145257,0.2,0.14077358237571186,1297.690942719,True,False
250,480.0,497,145754,0.2,0.11485553849788924,1302.091560174,True,False
251,700.0,562,146316,0.2,0.12207621137829537,1308.384020601,True,False
252,640.0,500,146816,0.2,0.13151639784127475,1312.937946891,True,False
253,400.0,499,147315,0.2,0.11951087778734584,1317.430308894,True,False
254,390.0,420,147735,0.2,0.102845855278983,1321.233513481,True,False
255,970.0,596,148331,0.2,0.13979316450305432,1326.599228078,True,False
256,1780.0,1011,149342,0.2,0.1254643242614778,1336.644370303,True,False
257,280.0,369,149711,0.2,0.12005753495285044,1340.253675552,True,False
258,770.0,839,150550,0.2,0.13565099999929467,1347.610686344,True,False
259,730.0,654,151204,0.2,0.14152712814464438,1353.215035062,True,False
260,950.0,635,151839,0.2,0.12586041881785362,1358.820564848,True,False
261,1800.0,874,152713,0.2,0.11773661739239681,1366.840399463,True,False
262,2100.0,573,153286,0.2,0.11961767086563828,1372.136868397,True,False
263,260.0,356,153642,0.2,0.11362152140629425,1377.661665331,True,False
264,610.0,724,154366,0.2,0.13087249381560317,1387.309425661,True,False
265,560.0,723,155089,0.2,0.11792330365648586,1398.48792026,True,False
266,1020.0,588,155677,0.2,0.11333062222265468,1408.23601915,True,False
